,genero,edad,ciudad,fecha_registro,fecha_pedido,nombre_restaurante,nombre_plato,categoria,cantidad,precio,metodo_pago,frecuencia_pedidos,fecha_ultimo_pedido,puntos_fidelidad,abandono,calificacion,fecha_calificacion,estado_entrega
0,Male,Adult,Peshawar,2024-01-14,2023-08-23,McDonald's,Burger,Italian,5,1478.27,Cash,38,2025-07-19,238,Active,3,2024-10-14,Cancelled
1,Male,Adult,Multan,2024-07-07,2023-08-23,KFC,Burger,Italian,3,956.04,Wallet,24,2024-11-25,81,Active,2,2025-08-21,Delayed
2,Other,Senior,Multan,2025-06-20,2023-08-23,Pizza Hut,Fries,Italian,2,882.51,Cash,42,2025-10-05,82,Inactive,3,2024-09-19,Delayed
3,Female,Senior,Peshawar,2023-05-09,2023-08-23,Subway,Pizza,Dessert,4,231.3,Card,27,2025-07-24,45,Inactive,2,2025-06-29,Delayed
4,Other,Senior,Lahore,2023-12-29,2023-08-24,KFC,Sandwich,Dessert,1,1156.69,Cash,35,2024-12-21,418,Inactive,3,2025-06-03,Cancelled
5,Other,Adult,Karachi,2023-09-28,2023-08-24,Burger King,Pizza,Fast Food,5,1213.62,Cash,45,2024-10-10,418,Inactive,4,2025-01-06,Delivered
6,Male,Adult,Lahore,2025-08-04,2023-08-24,McDonald's,Pasta,Continental,5,672.91,Wallet,31,2025-05-25,347,Active,1,2025-04-03,Cancelled
7,Male,Adult,Peshawar,2024-05-02,2023-08-24,Pizza Hut,Pizza,Chinese,2,271.74,Cash,14,2025-01-05,429,Active,2,2024-09-30,Delivered
8,Other,Senior,Karachi,2024-12-17,2023-08-24,KFC,Pizza,Dessert,5,596.96,Wallet,1,2025-05-16,24,Active,4,2024-10-27,Delayed
9,Male,Adult,Karachi,2023-10-13,2023-08-24,Pizza Hut,Pizza,Continental,2,1443.25,Cash,15,2025-02-23,270,Inactive,3,2024-11-10,Delayed
10,Male,Adult,Lahore,2025-07-30,2023-08-24,Subway,Sandwich,Continental,2,645.52,Cash,32,2025-08-04,133,Active,4,2024-05-12,Delayed
11,Female,Senior,Multan,2025-01-24,2023-08-24,Burger King,Burger,Fast Food,1,126.53,Wallet,45,2024-09-26,48,Inactive,2,2025-08-20,Cancelled
12,Male,Senior,Islamabad,2024-12-27,2023-08-24,Subway,Pizza,Italian,1,465.75,Card,29,2024-12-26,394,Active,4,2025-04-16,Cancelled
13,Female,Senior,Multan,2025-11-04,2023-08-24,Burger King,Sandwich,Continental,3,796.91,Wallet,39,2024-12-11,5,Inactive,5,2025-02-27,Delivered
14,Male,Teenager,Islamabad,2023-11-29,2023-08-24,KFC,Pizza,Fast Food,4,1140.76,Wallet,23,2025-04-22,492,Inactive,5,2025-04-19,Delayed
15,Other,Adult,Islamabad,2024-11-25,2023-08-25,Subway,Pizza,Continental,1,1285.18,Cash,10,2025-09-04,196,Inactive,2,2025-10-06,Delayed
16,Female,Teenager,Karachi,2025-06-20,2023-08-25,Burger King,Burger,Dessert,1,673.86,Wallet,38,2025-07-07,439,Inactive,2,2025-09-07,Delivered
