,temp_ambiente,presion_ambiente,humedad_ambiente,diferencia_presion_filtro_aire,presion_escape_turbina,temperatura_entrada_turbina,temperatura_salida_turbina,presion_descarga_comprensor,monoxido_carbono,oxido_nitrogeno,rendimiento_turbina
16123,8.4377,1017.6,85.144,2.5486,19.345,1056.6,549.77,10.584,6.5257,101.57,111.83
1208,18.467,1027.1,75.258,4.8019,25.327,1089.8,549.7,12.066,1.2982,75.777,133.69
20316,23.547,1010.2,93.057,4.8836,24.152,1073.0,544.7,11.61,3.159,53.555,123.69
16099,7.6391,1016.1,80.757,2.5654,19.309,1054.1,548.34,10.446,6.9121,108.35,111.56
15527,16.497,1002.2,83.207,3.2997,24.78,1086.7,549.21,12.007,1.5089,75.003,134.55
12059,33.818,1008.7,46.953,4.5003,29.698,1099.8,542.42,13.05,0.16762,56.618,144.96
7299,7.8015,1017.5,87.224,2.9161,24.329,1086.7,549.96,11.85,1.6214,81.514,134.97
23185,6.5288,1022.4,62.908,3.0705,23.156,1074.4,549.91,11.686,3.4644,76.412,130.58
10989,26.796,1001.2,65.031,4.352,29.984,1099.9,540.96,13.133,0.18999,56.549,148.84
9672,10.992,1006.4,91.495,4.5383,24.125,1085.1,550.09,11.929,0.82747,74.569,134.4
23240,11.895,1016.0,67.767,3.1797,25.052,1075.4,549.91,11.651,3.2204,68.336,130.51
19513,26.802,1014.5,58.553,3.6077,20.133,1059.0,549.92,10.528,3.599,53.112,109.08
4971,26.982,1011.7,66.739,4.9765,30.314,1099.9,539.3,13.272,1.3358,59.264,149.02
18996,25.336,1011.2,73.548,4.22,25.589,1092.0,550.35,12.122,1.6329,60.411,134.24
6530,12.917,1020.3,95.47,3.8091,18.87,1049.1,546.22,10.464,7.5015,87.237,108.63
29263,11.506,1025.3,71.264,2.7344,18.444,1029.6,539.9,10.286,12.024,94.117,103.8
31525,20.84,1009.1,60.331,3.8752,25.46,1082.4,550.05,12.085,2.1156,68.293,134.26
18387,22.655,1002.1,70.978,3.7011,24.417,1083.4,549.95,11.778,2.1539,64.004,129.52
31306,20.434,1011.6,67.749,3.9133,26.166,1091.2,550.11,12.207,1.9943,70.274,134.53
3263,28.384,1012.4,72.067,4.1963,26.09,1093.3,550.18,12.112,1.7268,62.684,133.37
18746,22.582,1010.0,82.294,4.0418,25.506,1090.3,549.59,12.017,7.7884,65.603,133.54
2789,28.007,1010.7,66.784,4.158,25.723,1090.4,550.37,12.257,0.82562,64.727,132.83
15836,10.499,1015.6,96.021,3.0877,24.13,1086.1,550.02,11.929,1.7004,78.595,135.04
3754,26.838,1011.0,85.876,4.2614,26.067,1091.8,550.17,12.176,1.9084,59.327,133.81
4719,28.972,1011.6,49.36,4.3696,26.5,1095.4,550.11,12.413,0.79158,67.072,134.86
22166,11.913,1016.4,82.688,4.2776,32.063,1099.8,532.42,13.773,1.6796,72.015,156.8
8150,4.3561,1011.5,89.042,3.8405,23.567,1084.5,549.94,11.666,1.4927,84.27,133.6
4072,24.767,1005.0,94.443,3.6363,20.296,1058.6,549.95,10.632,4.3714,45.341,110.65
7893,11.328,1013.6,88.7,4.8108,32.429,1100.2,530.23,13.929,0.19093,67.022,160.76
12834,21.645,1009.3,89.938,3.5248,22.299,1072.4,549.93,11.208,2.1556,59.413,120.74
17498,14.614,1015.4,51.463,3.3415,24.415,1087.4,549.96,12.037,1.2498,72.839,134.19
7164,10.614,1001.7,99.247,3.8026,32.918,1099.9,529.87,13.874,0.45447,67.125,161.9
23997,15.975,1019.5,53.259,4.1961,33.487,1100.0,538.08,13.633,3.0044,59.155,155.03
18004,21.369,1002.3,85.039,4.496,31.675,1099.8,535.44,13.539,1.4031,60.492,152.0
14278,9.9078,1026.1,65.923,3.3126,19.366,1024.5,527.21,10.506,20.271,105.66,108.08
29650,12.212,1022.8,87.377,3.3024,25.049,1077.5,549.99,11.881,0.11124,90.795,133.96
21503,19.014,1012.1,76.897,4.242,32.128,1100.0,534.22,13.624,1.5105,78.005,153.71
5783,17.78,1013.7,77.515,4.1263,24.584,1086.9,550.38,11.952,2.0014,69.919,132.69
26356,25.844,1005.3,70.619,4.2662,29.803,1100.0,546.24,13.143,1.4898,53.788,147.04
35242,16.387,1014.9,72.247,3.9701,22.461,1065.9,549.97,11.295,2.7227,64.282,121.9
18582,20.673,1009.2,92.132,2.9995,18.56,1049.1,550.03,10.081,5.4731,57.087,104.02
32710,28.488,1008.3,62.457,3.859,24.871,1077.2,549.86,11.754,1.9654,52.956,127.04
12500,24.362,1008.5,68.938,3.8154,25.452,1090.4,550.14,12.047,5.9818,56.289,133.73
20985,14.185,1026.4,82.786,3.1104,24.582,1086.9,549.71,11.997,0.72932,62.151,133.79
15821,18.58,1012.0,61.029,3.2947,24.672,1087.8,549.91,12.06,1.3806,77.492,133.62
16163,6.8831,1017.1,89.981,3.0328,23.796,1084.2,549.97,11.813,3.0265,82.218,134.61
28951,14.129,1005.1,88.853,3.4536,23.871,1075.3,549.93,11.719,2.2447,53.899,130.18
19784,29.387,1006.3,51.61,4.9069,26.556,1094.6,550.31,12.295,0.45432,66.303,134.2
34821,27.847,1004.2,80.153,5.0981,29.679,1099.5,548.06,12.968,1.0685,54.117,144.05
20104,29.978,1010.3,64.367,5.4537,27.752,1097.3,547.16,12.558,1.8076,67.525,138.18
3331,24.106,1012.3,89.705,3.4034,20.088,1058.1,550.13,10.508,4.6784,48.819,110.21
13372,22.903,1009.4,86.349,4.127,25.936,1093.6,550.17,12.318,1.07,62.975,135.74
31422,18.516,1009.4,80.57,3.8037,25.911,1090.3,550.02,12.037,1.2661,61.358,135.19
14952,7.1813,1030.9,88.897,4.0671,23.627,1086.0,549.97,11.961,1.7331,82.374,135.2
1251,11.128,1026.4,82.249,4.4889,23.629,1081.0,550.07,11.717,1.1039,82.293,129.43
8950,9.4701,1027.1,81.1,4.2646,24.047,1087.4,550.06,11.975,1.7762,82.421,134.19
2848,20.641,1008.3,88.531,4.1504,25.139,1088.3,550.3,12.03,1.8005,66.412,133.74
36401,14.227,1012.2,88.99,2.8148,22.654,1064.9,549.85,11.23,1.9486,62.737,122.39
35505,18.76,1018.4,82.737,4.0583,22.191,1064.5,550.06,11.113,3.1662,60.43,119.47
29889,14.212,1012.8,94.312,3.3179,23.545,1068.5,550.04,11.45,1.0095,56.192,126.9
22584,10.957,1015.8,74.322,3.107,24.617,1079.4,549.88,11.844,3.743,69.44,134.18
28577,16.388,1015.5,79.461,3.6615,26.08,1085.3,547.67,12.396,1.7486,51.219,138.26
5984,24.526,1017.9,87.042,4.5196,25.625,1091.2,549.92,12.131,1.4616,59.953,132.64
10744,22.211,1014.0,79.873,4.2711,29.528,1099.4,540.12,13.073,0.76276,60.805,147.33
19337,22.845,1005.8,94.869,4.384,25.502,1091.2,549.9,12.179,0.92173,57.541,134.89
13080,20.377,1005.6,79.918,3.891,25.266,1089.4,550.13,12.001,1.4085,66.9,133.96
2061,18.614,1016.0,77.178,5.9074,31.084,1100.0,536.25,13.426,1.138,66.659,153.32
