,temp_ambiente,presion_ambiente,humedad_ambiente,diferencia_presion_filtro_aire,presion_escape_turbina,temperatura_entrada_turbina,temperatura_salida_turbina,presion_descarga_comprensor,monoxido_carbono,oxido_nitrogeno,rendimiento_turbina
0,6.8594,1007.9,96.799,3.5,19.663,1059.2,550.0,10.605,3.1547,82.722,114.7
1,6.785,1008.4,97.118,3.4998,19.728,1059.3,550.0,10.598,3.2363,82.776,114.72
2,6.8977,1008.8,95.939,3.4824,19.779,1059.4,549.87,10.601,3.2012,82.468,114.71
3,7.0569,1009.2,95.249,3.4805,19.792,1059.6,549.99,10.606,3.1923,82.67,114.72
4,7.3978,1009.7,95.15,3.4976,19.765,1059.7,549.98,10.612,3.2484,82.311,114.72
5,7.6998,1010.7,92.708,3.5236,19.683,1059.8,549.97,10.626,3.4467,82.409,114.72
6,7.7901,1011.6,91.983,3.5298,19.659,1060.0,549.87,10.644,3.4874,82.44,114.71
7,7.7139,1012.7,91.348,3.5088,19.673,1059.8,549.92,10.656,3.6043,83.01,114.71
8,7.7975,1013.8,90.196,3.5141,19.634,1060.1,550.09,10.644,3.3943,82.284,114.72
9,8.082,1015.0,88.597,4.0612,23.406,1083.0,550.21,11.679,1.9081,82.782,131.7
10,8.3047,1016.0,86.343,4.087,23.747,1085.3,550.2,11.703,1.7118,81.995,133.67
11,8.4684,1016.1,86.491,4.0513,23.734,1085.1,550.14,11.775,1.4672,80.638,134.24
12,8.8856,1016.2,82.974,4.0503,23.869,1085.9,550.17,11.864,1.7113,80.533,134.69
13,9.3714,1016.6,79.98,4.0427,23.916,1085.9,550.09,11.86,1.6637,80.538,134.68
14,9.7962,1017.1,78.061,4.0613,23.962,1085.9,549.97,11.855,1.4061,80.463,134.68
15,9.6996,1017.9,76.382,4.0719,23.945,1085.9,549.84,11.85,1.4072,80.522,134.69
16,9.3111,1018.8,75.559,4.0578,23.89,1085.9,549.72,11.845,1.5193,80.648,134.69
17,8.6702,1019.8,77.476,4.0727,23.824,1085.9,549.6,11.84,1.4201,80.374,134.69
18,8.1375,1020.6,79.741,4.0432,23.832,1085.4,549.99,11.835,1.6156,80.639,134.68
19,7.0396,1021.2,83.102,4.011,23.655,1084.9,550.03,11.83,1.6929,81.223,134.68
20,6.5345,1021.7,86.253,4.0678,23.801,1085.7,549.87,11.867,1.4975,84.556,134.67
21,6.4893,1022.2,86.19,4.1476,24.098,1087.6,549.66,12.014,1.343,86.11,133.78
22,6.4935,1022.4,84.82,4.1916,24.053,1088.1,550.03,11.908,1.3034,86.607,134.11
23,6.079,1022.8,85.053,3.521,19.259,1057.0,548.09,10.565,4.6458,105.15,112.8
24,5.4134,1023.8,84.432,3.8312,21.433,1070.4,548.85,11.186,4.1165,105.73,122.33
25,5.4755,1024.0,82.83,4.1239,23.893,1087.2,549.96,11.968,1.4605,87.298,133.94
26,5.9958,1024.2,82.376,4.657,28.128,1099.7,543.28,12.935,0.78039,82.101,150.33
27,6.7455,1024.3,80.521,4.0011,23.628,1085.0,550.06,11.913,1.4327,84.386,134.24
28,7.9304,1023.7,76.271,4.657,28.433,1096.2,540.4,13.055,1.1222,75.403,150.02
29,9.3818,1022.8,56.158,4.634,28.221,1100.1,543.62,12.971,0.91143,83.766,150.5
30,10.005,1022.4,55.943,4.5008,27.325,1100.3,547.24,12.813,0.99325,87.119,147.72
31,10.197,1022.3,57.235,4.6544,28.375,1099.8,543.21,12.873,0.9363,80.353,150.6
32,10.362,1022.4,58.863,4.096,24.085,1085.9,549.89,11.974,1.4624,82.31,134.1
33,10.071,1022.3,62.72,4.2234,25.219,1092.3,550.07,12.124,1.2694,81.801,139.7
34,9.0326,1022.6,66.693,4.2483,25.607,1095.0,550.06,12.327,1.1787,84.197,142.04
35,8.6055,1022.7,69.72,4.3266,26.342,1099.2,550.33,12.551,0.98319,86.667,145.76
36,7.815,1022.4,73.101,4.4504,27.33,1100.1,546.95,12.771,0.86157,84.144,149.63
37,6.3292,1022.4,79.928,3.9692,23.639,1083.5,549.39,11.845,1.6684,83.796,134.62
38,5.2115,1022.4,85.43,4.0247,23.447,1083.4,550.05,11.783,1.7005,84.643,134.37
39,4.9731,1022.0,85.73,4.0163,23.363,1082.7,550.0,11.789,2.3359,83.76,133.75
40,4.5728,1021.7,87.397,4.0737,23.505,1083.9,549.96,11.883,1.7279,84.253,134.7
41,4.2643,1021.5,88.365,4.0944,23.544,1083.9,549.79,11.889,1.7017,84.737,134.32
42,4.2732,1021.3,88.375,4.2089,24.291,1088.1,550.1,12.042,1.5161,85.062,135.89
43,4.2691,1021.2,87.766,4.196,24.088,1086.9,549.98,11.939,1.4771,85.051,135.05
44,4.393,1021.5,86.622,3.8506,21.467,1037.9,528.08,11.141,31.971,99.229,116.72
45,3.8907,1021.8,88.81,4.1002,23.675,1084.6,550.09,11.75,1.7859,85.129,135.07
46,3.7124,1022.3,90.196,4.2672,24.149,1087.4,550.16,11.96,1.5446,85.929,134.61
47,5.1136,1022.8,91.462,5.2454,31.325,1099.6,532.5,13.671,0.81911,66.938,156.91
48,6.3887,1022.8,92.302,5.1564,30.83,1099.8,534.63,13.508,0.74091,67.781,158.69
49,8.2123,1022.4,94.78,4.8574,28.643,1100.1,542.5,13.113,0.97347,76.702,151.81
50,10.198,1021.9,88.976,4.7889,28.198,1099.8,544.07,13.046,1.0479,78.061,149.86
51,11.121,1021.8,79.605,4.7062,28.211,1100.4,544.15,13.084,1.2479,78.062,149.72
52,11.246,1021.9,77.457,4.8301,28.96,1100.2,541.54,13.107,1.1366,75.082,151.6
53,11.291,1022.2,77.777,4.1511,24.021,1085.7,549.9,11.813,1.7195,77.424,133.7
54,11.052,1022.2,81.374,4.1384,23.914,1085.3,550.01,11.83,1.7777,77.22,133.59
55,9.9509,1022.3,86.819,4.169,24.103,1086.2,549.92,11.907,1.8138,77.21,134.77
56,9.0512,1022.4,89.686,4.1568,23.716,1084.0,549.82,11.783,1.7967,77.328,133.41
57,8.2406,1022.9,88.949,4.3147,24.901,1091.1,550.15,12.131,1.4134,79.667,139.36
58,7.8063,1023.0,88.166,4.2042,24.063,1086.5,550.13,11.972,1.7916,79.416,135.71
59,6.9265,1023.0,89.427,4.1485,23.407,1082.8,550.02,11.741,1.9341,81.682,133.29
60,6.2019,1022.9,92.396,4.2639,23.767,1085.0,550.21,11.928,1.7545,81.195,134.86
61,5.838,1022.8,93.29,4.2806,23.68,1084.5,550.05,11.855,1.6754,81.945,134.65
62,5.6929,1022.7,93.167,4.304,24.038,1086.6,549.99,11.983,1.6491,83.449,135.25
63,5.5346,1022.7,93.228,4.286,24.096,1087.0,550.03,11.879,1.6431,83.558,135.14
64,5.7913,1021.2,90.801,4.1287,22.917,1062.8,538.95,11.559,17.437,94.277,125.81
65,5.3449,1021.1,91.843,4.1819,23.648,1084.2,549.91,11.757,1.5613,84.422,133.64
66,5.1123,1020.9,94.465,4.2542,23.638,1084.3,550.03,11.7,1.4721,83.333,133.67
67,5.3562,1021.0,99.571,4.3758,23.531,1083.7,550.03,11.664,1.3363,82.396,133.34
68,6.094,1021.1,100.18,4.6927,23.781,1086.0,550.12,11.843,1.4972,82.142,133.22
69,7.4314,1020.9,99.956,4.7902,24.566,1089.4,550.0,12.076,1.3169,81.71,135.19
70,8.5936,1020.4,99.724,4.781,24.366,1087.6,550.08,12.02,1.3219,79.232,133.76
71,9.8173,1019.6,97.878,4.7519,23.986,1085.4,550.03,11.935,1.4898,77.145,133.75
72,10.343,1018.5,96.807,4.7638,24.054,1085.4,549.88,11.915,1.7097,77.139,133.74
73,10.712,1017.6,93.895,4.7269,25.167,1091.6,549.86,12.118,1.3249,78.116,138.74
74,10.599,1017.1,92.698,4.5548,25.415,1093.0,550.22,12.082,1.3134,79.405,139.67
75,10.69,1016.9,92.305,4.3562,24.097,1085.4,550.1,11.857,1.6526,77.231,133.57
76,10.247,1016.6,94.086,4.3582,24.009,1084.9,550.07,11.686,1.7577,77.153,133.52
77,9.2286,1016.4,95.86,4.4023,23.568,1082.5,549.98,11.65,2.1855,77.199,132.2
78,8.8895,1016.5,96.73,4.5986,24.158,1086.0,550.07,11.798,1.5168,77.084,134.76
79,8.5251,1016.5,94.728,4.452,23.983,1085.2,550.05,11.767,1.6508,77.305,134.32
80,6.8583,1016.4,92.812,4.4024,23.871,1084.6,549.86,11.879,1.4624,81.072,134.74
81,5.4839,1016.0,96.092,4.5288,23.852,1084.7,550.1,11.866,1.8067,82.097,135.12
82,5.1159,1015.7,98.623,4.7282,23.843,1084.9,550.09,11.963,1.9478,82.314,135.21
83,4.9338,1015.3,99.869,4.8521,23.692,1083.8,549.94,11.851,1.8624,82.891,134.43
84,4.8061,1015.0,100.08,5.0605,24.081,1086.2,550.1,11.955,1.4915,82.054,135.49
85,5.2138,1015.0,100.18,4.9899,24.161,1086.7,550.17,12.034,1.3126,81.952,134.66
86,5.746,1014.8,100.17,4.963,24.062,1085.8,550.06,11.83,1.4267,82.146,134.01
87,5.9927,1014.3,100.18,5.0052,23.973,1085.2,549.89,11.786,1.5817,82.062,133.57
88,6.3223,1013.9,100.18,5.0599,24.174,1086.3,550.04,11.94,1.6643,81.967,134.27
89,6.734,1013.6,100.17,5.1539,24.313,1086.9,550.08,11.926,1.6142,82.019,134.67
90,7.1418,1013.3,100.13,5.1639,24.332,1086.9,549.91,11.86,1.3204,82.079,134.51
91,7.4561,1013.1,99.555,5.2384,24.441,1087.5,550.15,11.933,1.3139,82.169,134.87
92,7.4089,1013.1,98.936,5.2313,23.882,1084.4,550.01,11.777,1.4937,82.114,134.02
93,7.3384,1013.3,100.1,5.499,24.055,1085.2,550.06,11.936,1.6799,79.398,134.73
94,8.2968,1012.6,100.17,5.8685,24.856,1089.5,550.01,11.97,1.3188,77.816,137.97
95,9.3303,1011.7,100.17,6.0908,24.425,1086.6,549.97,11.842,1.6058,76.993,135.42
96,10.137,1010.5,100.17,6.358,24.559,1087.0,549.97,11.801,1.3174,76.04,135.7
97,10.438,1009.1,99.727,6.1715,24.136,1084.5,549.97,11.802,1.4964,76.057,133.7
98,9.8976,1008.0,100.15,6.0726,24.481,1086.5,549.9,11.878,1.3149,77.134,135.65
99,9.94,1007.3,100.17,5.9766,24.092,1084.3,549.88,11.793,1.3819,76.342,133.75
100,9.9082,1006.8,100.17,6.0445,24.073,1084.2,549.95,11.707,1.4919,74.8,133.75
101,10.508,1006.4,99.221,5.8844,24.06,1083.7,550.07,11.678,1.6164,74.578,133.52
102,10.462,1005.6,98.315,5.7329,24.114,1084.5,549.9,11.806,1.4671,75.424,133.96
103,12.184,1004.6,91.008,4.8536,24.357,1085.8,550.04,11.865,1.1066,75.595,134.73
104,12.62,1003.9,89.17,4.4631,24.265,1085.3,550.19,11.894,1.276,74.483,134.03
105,13.981,1002.9,83.262,4.4213,24.372,1086.3,549.98,11.949,1.3186,75.082,134.35
106,14.742,1002.3,78.706,4.5311,25.55,1092.4,550.27,12.186,1.3054,79.374,139.71
107,14.991,1001.2,78.481,4.3795,24.408,1086.1,550.07,11.974,1.6468,74.597,134.41
108,14.867,1000.2,76.831,4.3998,24.568,1086.9,550.01,11.922,1.292,75.145,134.91
109,14.475,999.49,76.982,4.3433,24.294,1085.0,550.1,11.761,1.3274,73.822,133.33
110,14.936,998.76,75.63,4.4135,24.775,1087.4,549.99,11.933,1.2177,75.104,135.35
111,14.956,998.01,74.836,4.4128,24.672,1086.7,550.14,11.805,1.3609,78.443,134.66
112,15.399,996.84,74.237,3.9852,22.193,1048.3,534.51,11.137,27.25,83.232,118.99
